📦 세트구성_매핑.xlsx 내용:

             세트바코드                                      구성품명         구성품바코드  수량         등록일         수정일
0    LE10000000000                             미니멀러그_스와치_SET  LE10000000000   1  2026-04-13  2026-04-13
1    LE10000001001                    미니멀러그_오프화이트_사각_400x600  LE10000001001   1  2026-04-13  2026-04-13
2    LE10000001002                   미니멀러그_오프화이트_사각_500x1500  LE10000001002   1  2026-04-13  2026-04-13
3    LE10000001006                  미니멀러그_오프화이트_사각_2000x3000  LE10000001006   1  2026-04-13  2026-04-13
4    LE10000001009                      미니멀러그_오프화이트_원형_1900Ø  LE10000001009   1  2026-04-13  2026-04-13
5    LE10000001011                  미니멀러그_오프화이트_타원_1000x1500  LE10000001011   1  2026-04-13  2026-04-13
6    LE10000001012                  미니멀러그_오프화이트_타원_1500x2250  LE10000001012   1  2026-04-13  2026-04-13
7    LE10000001013                  미니멀러그_오프화이트_타원_2000x3000  LE10000001013   1  2026-04-13  2026-04-13
8    LE10000001014                 미니멀러그_오프화이트_코너형_750_(1/4)  LE10000001014   1  2026-04-13  2026-04-13
9    LE10000001015                미니멀러그_오프화이트_코너형_1000_(1/4)  LE10000001015   1  2026-04-13  2026-04-13
10   LE10000001016                미니멀러그_오프화이트_코너형_1500_(1/4)  LE10000001016   1  2026-04-13  2026-04-13
11   LE10000001017                  미니멀러그_오프화이트_라운드_500x1500  LE10000001017   1  2026-04-13  2026-04-13
12   LE10000001018                    미니멀러그_오프화이트_반원_480x800  LE10000001018   1  2026-04-13  2026-04-13
13   LE10000001019                   미니멀러그_오프화이트_반원_600x1000  LE10000001019   1  2026-04-13  2026-04-13
14   LE10000001020                   미니멀러그_오프화이트_반원_780x1300  LE10000001020   1  2026-04-13  2026-04-13
15   LE10000002001                      미니멀러그_브라운_사각_400x600  LE10000002001   1  2026-04-13  2026-04-13
16   LE10000002002                     미니멀러그_브라운_사각_500x1500  LE10000002002   1  2026-04-13  2026-04-13
17   LE10000002004                    미니멀러그_브라운_사각_1500x2000  LE10000002004   1  2026-04-13  2026-04-13
18   LE10000002005                    미니멀러그_브라운_사각_2000x2500  LE10000002005   1  2026-04-13  2026-04-13
19   LE10000002006                    미니멀러그_브라운_사각_2000x3000  LE10000002006   1  2026-04-13  2026-04-13
